Ticket Details Report
Ticket: A001
Branch: Kowloon Bay Centre (KB)


Total records: -
A001,2024-06-16 16:56:31,TicketKey API ticket created KB_A_001_2024-06-16T08:56:31.674982Z Printer Number: P1,  (userapi),postman,8.3,
A001,2024-06-18 12:01:17,Get ticket from list KB_A_001_2024-06-16T08:56:31.674982Z,Elton Lam (elton),Softkey-web,8.3.1.0,
A001,2024-06-18 12:12:15,Recall ticket KB_A_001_2024-06-18T04:12:15.673937Z,Elton Lam (elton),Softkey-web,8.3.1.0,
A001,2024-06-18 12:12:25,Miss ticket KB_A_001_2024-06-18T04:12:25.377493Z,Elton Lam (elton),Softkey-web,8.3.1.0,
