Ticket Details Report
Ticket: B018
Branch: Kowloon Bay Centre (KB)


Total records: -
B018,2024-06-19 16:58:04,TicketKey API ticket created KB_B_018_2024-06-19T08:58:04.377812Z Printer Number: P1,Elton Lam (elton),web,8.3.1,
B018,2024-06-19 16:58:20,Call ticket KB_B_018_2024-06-19T08:58:20.449924Z,Elton Lam (elton),Softkey-web,8.3.1.0,
B018,2024-06-19 16:58:25,Process ticket KB_B_018_2024-06-19T08:58:25.415445Z,Elton Lam (elton),Softkey-web,8.3.1.0,
B018,2024-06-19 16:58:26,Done ticket KB_B_018_2024-06-19T08:58:26.456850Z,Elton Lam (elton),Softkey-web,8.3.1.0,
