Ticket Details Report
Ticket: B017
Branch: Kowloon Bay Centre (KB)


Total records: -
B017,2024-06-18 17:28:14,TicketKey API ticket created KB_B_017_2024-06-18T09:28:14.313246Z Printer Number: P1,Elton Lam (elton),web,8.3.1,
B017,2024-06-18 17:42:16,Call ticket KB_B_017_2024-06-18T09:42:16.906218Z,Elton Lam (elton),Softkey-web,8.3.1.0,
B017,2024-06-18 17:42:33,Recall ticket KB_B_017_2024-06-18T09:42:33.485145Z,Elton Lam (elton),Softkey-web,8.3.1.0,
B017,2024-06-19 16:58:16,Process ticket KB_B_017_2024-06-19T08:58:16.822787Z,Elton Lam (elton),Softkey-web,8.3.1.0,
B017,2024-06-19 16:58:17,Done ticket KB_B_017_2024-06-19T08:58:17.621997Z,Elton Lam (elton),Softkey-web,8.3.1.0,
